Candidato,Partido,Número,Votos
Irandi,PPS,23002,74
Leticia Oliveira,PSOL,50629,74
Erika Siqueira,PSL,17123,74
Sandro Soares,PV,43811,74
Lenildo Giliard,PV,43121,73
Jorge da Saúde,PRB,10555,72
Robson Rabelo,DEM,25555,72
Jack Calado,PHS,31777,72
Gildo dos Rodoviários,PPL,54555,71
Micelia Simplicio,PSOL,50522,70
Charles Heitor,PV,43221,70
Professora Mônica,PSDC,27207,69
Manoel Bastos Enfermeiro,PMN,33678,69
Raul Schumacher,PMN,33056,69
Elissandra Cabral,PSDB,45844,68
Malba Bemvindo,PSDC,27677,67
Bete,PEN,51318,67
Irmã Luzinete,PSDB,45245,67
Lourdes Cavalcanti do Posto,PRTB,28743,66
Arlene,PPL,54154,66
Luciana (nana),PPS,23663,65
Cristiano Souza,PDT,12132,65
Marcela Pérola Negra,PRTB,28033,65
Jaqueline Carvalho,PPL,54432,65
Miriam Cunha,PSB,40104,64
Manoel Gusmão,PHS,31313,64
Iara Paiva,PP,11220,62
He-man,PV,43533,62
Terezinha de Jesus,PSB,40014,61
Agenor da Água,PPS,23001,61
Kátia Sette,DEM,25777,61
Jair Porfirio,PRP,44133,60
Fernando Encarnação,PSD,55345,59
Ramiro do Povo,PRP,44444,59
Irmão Alexandre,PPL,54158,59
Junior Pirro,DEM,25000,59
Adriana Alves,PPS,23979,58
Denny Michel,PTC,36143,58
Vanessa Campos,PTC,36112,58
Fabia,PSD,55911,57
Capinha,PSL,17222,57
Andre Luiz,PMN,33456,57
Zé Carlos,PSDB,45945,56
Maria Rita,PRTB,28402,56
Robinho de Casa Amarela,PPS,23276,56
Eja Miguel,PRP,44767,56
Paula Fernandes,PSB,40007,56
Eliane Lima,PTC,36911,56
Raphaela Duarte,PTC,36444,56
Caseli,PHS,31804,56
Mago do Taxi,PPL,54256,55
Ronaldo José de Lima,PC do B,65315,54
Marthinha,PMN,33733,54
Rafa Almeida,PV,43701,54
Adeildo Queiros,PTB,14190,53
Maria Helena Mendes,PV,43243,53
Dione Moura,PSD,55788,52
Irmã Didi,PRTB,28555,50
Nilza,PSDC,27320,50
Anderson Campos,PTC,36377,50
Zenne Barros,PROS,90234,49
Beto Miranda,PPL,54055,49
Vera,PPL,54123,48
Cristiano Silva Andrade,PV,43987,48
Rhayssa de Andrade,DEM,25002,48
Cassia Coelho,PP,11666,47
Rejane Souza,SD,77666,47
Luzinete,PPS,23030,47
Lucineide Brasil A Rainha do B,PSDB,45445,47
Débora Queiroz,PSDB,45450,47
Guarda Roupa,PRTB,28075,46
Ducarmo,PSB,40041,46
Dalva Moura,PTC,36106,46
Mario Rissin,PTC,36468,46
Ralderes (negão da Sede),PPL,54984,46
Santina,PV,43444,45
Jurandy,PV,43233,45
Toinho Amendoim,PRP,44440,44
Ana Ligia,PSOL,50005,44
Joseles Ribeiro,PSDC,27727,44
Ceça da Lan House,PSC,20800,44
Robertão,SD,77336,43
Seu Roberto O Homem Certo,PTC,36008,43
Fred do Metrô,PEN,51011,43
Reinaldo Rivera,DEM,25725,43
Sassá,PV,43666,43
Anísio Arruda,PHS,31502,43
Cantora Sandra Souza,PHS,31444,43
Isaias Thomaz,PHS,31480,43
Marney,PSOL,50900,42
Prof Felipe Menezes,PSOL,50003,42
Cassia Figueiredo,SD,77800,41
Joab Henrique,PPS,23999,41
Nado Mansinho,PSC,20911,40
Mary,PPL,54145,40
Eraldo do Côco,DEM,25625,40
Humberto Sobrinho,PRTB,28100,39
Matuto do Armazem,PSD,55676,39
Tia Lucy,PPS,23330,39
Eline Natalia,PPS,23635,39
Zé do Oculos,PRP,44345,38
Fernanda Rolim,SD,77227,38
Cabuloso,PSL,17800,38
Eliane,PPL,54124,38
Fia Antonia Olivia,PSDB,45234,37
Ana Paula,PRP,44722,37
Carlos Siqueira,PSDC,27115,37
Ada Beatriz,PMN,33633,37
Graças Tiburcio,PSDB,45025,36
Lucia Lucena,PSB,40045,36
Davi da Refrigeração,SD,77715,36
Natalício de Souza,SD,77113,36
Pastor Charlles Braz,SD,77122,36
Priu Duarte,PC do B,65777,35
