Candidato,Partido,Número,Votos
Josué Augusto,PHS,31222,393
Zé Roberto,PRP,44566,392
Marinho Junior,SD,77210,391
Pipita,PPS,23338,391
Ricardo da Xerox,PTC,36007,389
Flora Pimentel,PRP,44800,388
Miranda Queza,PTC,36554,385
Professor Luizinho,PRP,44099,383
Elinaldo Alcides,PMN,33155,380
Tarcis Guimarães,PRTB,28520,379
Marquinho Taxista,PSL,17699,375
Hugo Arcoverde,PP,11123,375
André Inventor,PV,43043,374
Jodileide Marques,PPL,54254,374
Terezinha Rocha,PEN,51555,373
Paulo Belence,PRP,44220,372
Jailson,PSOL,50012,372
Adrian Passos,SD,77600,372
João Oliveira,PRTB,28288,370
Levi Mesquita,PTB,14777,370
Binho Souza,PRP,44777,369
Silvio Lucena,PRTB,28200,368
Raimundo Ferreira,PEN,51123,367
Genilson Monteiro,PTC,36789,362
Ricardo Bezerra,PSDC,27270,360
Irmã Dinha,PEN,51960,359
Lira Junior,SD,77377,359
Jesus,PSC,20333,358
Nevinha Silva,PRTB,28777,356
Murilo Dias,PSL,17458,354
Jefferson Cesar,PPS,23323,354
Rubem Moraes,PRP,44456,353
Assis Vigilante,PRTB,28678,349
Isaac Nova Raça,PPL,54044,342
Irmã Cristina,PRTB,28868,341
Irmão Reginaldo,PC do B,65465,339
Josenildo Tem Futuro,PHS,31031,339
Coronel Guarines,SD,77888,338
Sonia Lins,PSDC,27772,336
Zé do Carmo,PRB,10110,335
Shirlene Queiroz,PRP,44999,333
Doutor Penha,PSD,55000,331
Pastor Josuel Silva,PSDB,45777,331
Zilda Corretora,PSDB,45007,331
Italo Bruno,PSD,55255,331
Pastor Fernando,SD,77028,330
Léo Benevides,PHS,31555,329
Missionaria Nay Ferreira,PSC,20677,326
Andre Cabeleireiro,PSDC,27111,325
Taxista Edilson Pedrinho,PPL,54321,322
Geovane Barbosa,PRP,44234,321
Afonso,PMN,33345,320
Marli Maravilha,PV,43100,319
Suzy do Sítio do Rosário,PSC,20140,314
Kátia Gomes,PPS,23533,310
Kinco,SD,77333,308
Erivan Correia,PC do B,65242,307
Darlan Braz Neto,DEM,25888,307
Olga Câmara,PTB,14514,304
Jamil Gomes,SD,77477,304
Valter Afogados,PPL,54100,303
Sergio do Camarão,PRP,44129,302
Leandro Tenorio,PPL,54441,302
Ray Ferreira,PSC,20611,300
Professor Fernando Luiz,PDT,12223,299
Prof. Pedro Monteiro,PHS,31733,299
Alberico do Fiteiro,PSC,20320,298
Avaneide Scanoni Neidinha,PTC,36012,296
Waldyr Santos,PRP,44022,296
Irá,PTC,36066,293
Aquiles,PSC,20720,292
Samuel Ferreira,PHS,31245,290
Pitter Bull Cabelereiro,PPS,23100,288
João Oseias,PSB,40250,287
Pedro Silva,PRP,44024,286
Lilika,PPL,54001,285
Pedro Cabeleireiro,PPS,23201,283
Aldemir Brasil,PC do B,65027,282
Binha,PTC,36500,282
Reginaldo Barboza - Regi,PRTB,28133,281
Roberto Numeriano,PSOL,50021,279
Hugo Lins,PSDB,45655,279
Irmão Cicero,PHS,31866,278
Eliseu Magno,PC do B,65123,275
Enock Ramos,PMN,33644,275
Varjal,PSOL,50789,270
Professora Verônica Duarte,PC do B,65173,268
Pastor Fabianno Felix,PSD,55755,263
Leandra Silva,PRB,10400,261
George Soares,PP,11234,261
Marcos Andrade,PTC,36576,260
Alexandre Bigode,PHS,31161,259
Gildo Tv,PTC,36678,257
Albérico Sigismundo,PSOL,50641,254
Deyvson Nunes,PEN,51777,250
Izaias Guimaraes,PTC,36222,249
Ivonete Oliveira Nanete,PSC,20123,248
Marcos Vieira,PRTB,28444,248
Alencar,PRTB,28008,247
Carlos Fernando,PRP,44500,246
Professora Rosa,PSB,40040,244
Cristiano Andrade,PMN,33233,244
João Almeida,PHS,31429,243
João Rafael,PPS,23900,240
Genilson Pontes,SD,77353,235
Sargento João Evangelista,PSDC,27766,235
Walmir Locutor,PSDC,27877,233
Washington Leandro,PRP,44369,228
Val do Posto,PPS,23669,227
Andréa May,PP,11777,225
Wagner Rodrigues,PR,22622,225
Sandro Ferraz,PPS,23523,225
Van do Forró,PSD,55055,225
Dilson Reis Filho,PSDB,45888,224
Michelle de Afogados,PSDC,27224,223
Waléria da Saúde,PEN,51633,221
Rivaldo Figueiredo,PHS,31386,221
Erivaldo Martins,PRB,10888,220
Nilda,PSD,55014,219
Hosana Jane,PEN,51001,216
Henrique Florentino,PPL,54333,216
Luiz Ignácio,PV,43643,216
Abigail da Saúde,PSOL,50111,215
Gerusa da Saúde,PSC,20300,212
Tinho do Povo,PSC,20101,211
Graça Vasconcelos,PV,43151,210
Gemeos da Capotaria,PSD,55130,207
Rita Lima,PSDB,45200,204
Rileyde Almeida,PV,43033,204
Claudio Cacau,PV,43622,202
Margarete Medeiros,PSDC,27334,200
Leonardo Quintas,PEN,51111,200
Pastor Gerson Pereira,PEN,51021,198
Marcilio Correria,PMN,33805,197
Marcinho,PSOL,50020,196
Dirceu,PRP,44544,195
Daniel Cabeleireiro,PSDB,45102,195
Xandy Show Lgbt,PC do B,65324,195
Jonas Miguel,PRTB,28900,195
Irmã Tia Nita,SD,77422,195
Antonio Monteiro,SD,77677,195
Luciano César,PEN,51789,194
Mister N,PHS,31115,194
Americo da Autoescola,PROS,90011,192
Almir Barbosa,PP,11222,191
Prof Aluizio Moreira,PCB,21111,190
Otaviano Paulino,PTC,36119,190
Nino da Barraca,PSDB,45570,189
Adilson Bito,PSD,55112,189
Nestor Ananias,PTC,36912,188
Alexandre Diniz,REDE,18100,187
Wilson Cardoso,PMN,33148,187
Rodesio Fonseca,PPL,54654,186
João Henrique,PSD,55455,183
Rogerio Bênção,PPL,54777,183
Wellington Futsal,PPL,54219,181
Valdenio Dong,PRB,10333,180
Eduardo Lacerda,PSB,40610,179
Doda do Povo,PRB,10456,179
Robson Leite,PPS,23155,178
Mano Coragem,PRP,44644,178
Lila da Varzea,PEN,51421,177
Castro,PC do B,65444,176
Azmazete Sena - Beeca,PDT,12000,175
Marcos,PV,43154,175
Fabiano,PSDB,45745,174
Jair Pedro,PSTU,16616,174
Carlos do Povão,PHS,31118,174
Zenilda Lima,PT,13113,173
Antonio Marcos do Pros,PROS,90900,172
Professor Sorriso,PRB,10300,171
Gecilene Valeria,PTC,36100,170
Reginaldo Andrade,PPL,54610,169
Felipe dos Santos,PHS,31207,169
Rômulo Falcão,PV,43122,169
Elza do Cepas,PSC,20622,168
Profº Cícero Vieira,PC do B,65550,167
Motoca,PSDB,45291,167
Gilberto Marques,PSB,40777,165
Everton Alan,PMN,33331,165
Arlindo Macedo,PMN,33777,162
Marco Bala,PSL,17777,161
Diamante Negro,PMN,33323,161
Nilson Luthier,PEN,51103,160
Fabio Vinhaes,PDT,12221,160
Oliveira,SD,77233,159
Asafe Neves,PP,11555,159
Paulinho da Vila dos Bancários,PSD,55002,159
Paquito,PSD,55032,159
Sargento Costa,PPS,23190,157
Severino Billy,PTB,14444,157
Professor Silvio Diniz,PSL,17455,156
Lula Braz,PT,13159,156
Suely Dantas,SD,77222,156
Velho Barretto,PV,43313,156
Elias Santos,REDE,18888,155
Natanael Freitas,PPS,23447,155
Pastor Jefferson Gomes,PSD,55234,154
Ismael Rodrigues,PSDC,27189,153
Marcos do Peixe,SD,77007,152
Irmã Sofia,PMN,33661,152
Henrique Bueirão,PROS,90456,151
Professor Paulo Máximo,PEN,51678,151
Irmã Ana,PEN,51125,151
Antonio dos Milagres,PRTB,28192,150
Luciano Cob,PRB,10444,149
Nalva Castro,PTB,14567,148
